"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","15.7","0",NA,"28.8","0","2.7","0","",,NA,"25.9","0",NA,"","7","",,NA,"84.1","13.6","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","15.2","0",NA,"26.6","0","2.7","0","",,NA,"122.4","2",NA,"","14","",,NA,"97.1","9.7","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","15.1","0",NA,"27.1","0","2.2","0","",,NA,"151.6","0",NA,"","16","",,NA,"98.2","9.8","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","17.2","3",NA,"31.4","3","4.7","3","",,NA,"64.9","3",NA,"","11","",,NA,"50.0","27.9","6012199"
"FORT SEVERN A","56.019","-87.676","ON","12.7","22",NA,"25.8","22","3.0","22","",,NA,"7.5","22",NA,"","3","",,NA,"47.4","0.0","6012501"
"LANSDOWNE HOUSE A","52.196","-87.934","ON","15.6","0",NA,"29.2","0","1.7","0","",,NA,"66.5","0",NA,"","12","",,NA,"85.6","10.3","6014351"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","15.4","0",NA,"28.8","0","1.4","0","",,NA,"55.7","0",NA,"","10","",,NA,"88.7","9.1","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","15.5","0",NA,"28.6","0","2.8","0","",,NA,"86.5","2",NA,"","10","",,NA,"91.5","14.6","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","13.8","0",NA,"26.6","0","2.9","0","",,NA,"85.7","0",NA,"","15","",,NA,"139.1","8.7","6016295"
"PEAWANUCK A","54.988","-85.443","ON","13.9","0",NA,"26.7","0","2.8","0","",,NA,"",,NA,"","","",,NA,"137.4","9.1","6016298"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","16.5","0",NA,"29.5","0","3.4","0","",,NA,"64.5","0",NA,"","12","",,NA,"69.5","22.8","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","16.5","0",NA,"29.3","0","3.0","0","",,NA,"0.0","24",NA,"","0","",,NA,"69.0","23.4","6016528"
"RED LAKE A","51.067","-93.793","ON","16.8","0",NA,"31.6","0","1.9","0","",,NA,"",,NA,"","","",,NA,"62.5","26.7","6016971"
"SANDY LAKE A","53.064","-93.344","ON","15.9","0",NA,"27.7","0","3.9","0","",,NA,"109.6","0",NA,"","14","",,NA,"85.3","20.1","6017401"
"BARWICK","48.633","-93.967","ON","17.9","0","0.0","31.5","0","5.0","0","0.0","0",NA,"122.2","0","155.0","0.0","8","","",NA,"36.2","33.9","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","16.5","0",NA,"29.8","0","4.4","0","",,NA,"138.9","0",NA,"","13","",,NA,"66.7","18.9","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","16.7","0",NA,"30.1","0","4.2","0","",,NA,"154.3","0",NA,"","10","",,NA,"62.6","22.7","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","18.0","0",NA,"31.0","0","5.0","0","0.0","0",NA,"140.8","0",NA,"0.0","9","","",NA,"38.7","38.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","17.4","0",NA,"29.7","0","6.5","0","",,NA,"74.2","1",NA,"","10","",,NA,"54.3","34.5","6032125"
"KENORA RCS","49.791","-94.378","ON","18.2","0",NA,"30.6","0","8.0","0","",,NA,"110.7","0",NA,"","7","",,NA,"36.9","43.2","6034073"
"KENORA A","49.788","-94.363","ON","17.8","3",NA,"30.0","3","7.9","3","0.0","11",NA,"119.4","0",NA,"","7","",,NA,"36.0","31.3","6034076"
"RAWSON LAKE","49.650","-93.717","ON","17.2","19","-1.1","23.5","19","11.0","18","0.0","19",NA,"0.6","19",NA,"","0","","",NA,"19.1","9.7","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","17.7","0",NA,"30.4","0","8.0","0","",,NA,"2.6","6",NA,"","1","",,NA,"45.7","34.9","6036907"
"SIOUX LOOKOUT A","50.114","-91.908","ON","16.3","2",NA,"28.9","2","3.2","2","0.0","18",NA,"112.8","0",NA,"","13","",,NA,"67.3","18.0","6037776"
"SIOUX LOOKOUT AIRPORT","50.114","-91.906","ON","16.7","1",NA,"29.5","1","4.2","1","",,NA,"95.9","1",NA,"","12","",,NA,"63.6","25.0","6037800"
"ARMSTRONG (AUT)","50.294","-88.905","ON","14.7","1",NA,"28.3","1","-0.8","1","",,NA,"37.5","1",NA,"","5","",,NA,"103.4","5.2","6040325"
